PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,28.0,76,76.0,2877,765,1354,0.565,103,254,0.406,662,1100,0.602,0.603,403,535,0.753,97,513,610,551,129,67,226,110,2036
Chris Bosh,28.0,74,74.0,2454,485,907,0.535,21,74,0.284,464,833,0.557,0.546,241,302,0.7979999999999999,131,370,501,123,66,101,128,168,1232
Dwyane Wade,31.0,69,69.0,2391,569,1093,0.521,17,66,0.258,552,1027,0.537,0.528,308,425,0.725,86,258,344,352,128,56,194,140,1463
Mario Chalmers,26.0,77,77.0,2068,227,529,0.429,123,301,0.409,104,228,0.456,0.545,89,112,0.795,19,152,171,273,118,12,119,196,666
Ray Allen,37.0,79,0.0,2035,292,651,0.449,139,332,0.419,153,319,0.48,0.555,140,158,0.8859999999999999,40,177,217,135,67,15,103,129,863
Shane Battier,34.0,72,20.0,1786,152,362,0.42,136,316,0.43,16,46,0.348,0.608,32,38,0.8420000000000001,37,128,165,72,41,55,34,149,472
Norris Cole,24.0,80,4.0,1590,179,425,0.42100000000000004,35,98,0.35700000000000004,144,327,0.44,0.462,52,80,0.65,18,112,130,164,57,7,104,155,445
Udonis Haslem,32.0,75,59.0,1414,129,251,0.514,0,0,,129,251,0.514,0.514,32,45,0.711,97,307,404,38,30,15,45,173,290
Mike Miller,32.0,59,17.0,900,100,231,0.433,73,175,0.41700000000000004,27,56,0.48200000000000004,0.591,8,11,0.727,18,139,157,99,21,4,35,63,281
Rashard Lewis,33.0,55,9.0,792,103,249,0.414,51,131,0.389,52,118,0.441,0.516,28,45,0.622,19,102,121,30,21,14,33,67,285
Chris Andersen,34.0,42,0.0,624,71,123,0.5770000000000001,2,3,0.667,69,120,0.575,0.585,63,93,0.677,57,115,172,17,16,44,24,89,207
Joel Anthony,30.0,62,3.0,566,35,68,0.515,0,0,,35,68,0.515,0.515,17,28,0.607,45,70,115,13,13,42,22,49,87
James Jones,32.0,38,0.0,221,21,61,0.344,16,53,0.302,5,8,0.625,0.475,2,4,0.5,0,22,22,13,2,6,3,16,60
Juwan Howard,39.0,7,2.0,51,10,19,0.526,0,0,,10,19,0.526,0.526,1,1,1.0,0,8,8,6,0,0,4,9,21
Jarvis Varnado,24.0,8,0.0,40,1,3,0.33299999999999996,0,0,,1,3,0.33299999999999996,0.33299999999999996,0,0,,1,5,6,2,0,2,5,9,2
Josh Harrellson,23.0,6,0.0,31,4,9,0.444,1,5,0.2,3,4,0.75,0.5,1,2,0.5,3,4,7,0,1,1,3,4,10
Terrel Harris,25.0,7,0.0,29,2,8,0.25,0,1,0.0,2,7,0.28600000000000003,0.25,6,8,0.75,4,5,9,2,0,0,4,3,10
Dexter Pittman,24.0,4,0.0,12,3,5,0.6,0,0,,3,5,0.6,0.6,0,0,,4,3,7,0,0,0,2,4,6
Team Totals,,82,,19880,3148,6348,0.496,717,1809,0.396,2431,4539,0.536,0.552,1423,1887,0.754,676,2490,3166,1890,710,441,1143,1533,8436
