SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2003,26,SAC,Peja Stojakovic,25,12,12,486,10.1,21.1,0.48,3.3,7.3,0.46,6.8,13.8,0.49,5.3,6.3,0.85,1.8,6.9,8.7,3.1,1.0,0.5,1.3,3.5,28.9,,128,111
2003,26,SAC,Mike Bibby,24,12,12,404,7.2,16.9,0.42,1.4,4.9,0.28,5.8,12.0,0.48,3.4,4.3,0.79,1.0,2.9,3.9,7.5,1.8,0.6,2.3,3.9,19.1,,110,112
2003,26,SAC,Doug Christie,32,12,12,381,4.9,13.2,0.37,0.8,3.2,0.25,4.1,10.0,0.41,3.9,4.1,0.94,2.0,7.8,9.8,7.3,1.6,0.4,2.9,2.9,14.5,,105,109
2003,26,SAC,Bobby Jackson,29,12,0,331,9.6,21.1,0.46,2.3,6.6,0.35,7.4,14.5,0.5,4.7,5.4,0.89,1.7,6.6,8.3,6.1,1.8,0.2,2.6,3.4,26.3,,116,110
2003,26,SAC,Vlade Divac,34,12,12,317,8.2,14.6,0.56,0.0,0.0,,8.2,14.6,0.56,5.6,8.3,0.67,4.8,6.2,11.0,4.3,1.3,1.8,2.6,6.1,21.9,,123,110
2003,26,SAC,Jim Jackson,32,12,0,296,8.4,16.8,0.5,2.2,4.8,0.46,6.2,12.0,0.51,4.1,5.3,0.77,2.7,5.3,8.0,2.4,1.4,0.5,2.9,5.8,23.1,,115,111
2003,26,SAC,Chris Webber,29,7,7,246,13.8,27.8,0.5,0.0,0.6,0.0,13.8,27.2,0.51,6.6,10.1,0.65,3.7,8.2,12.0,5.2,2.1,1.6,4.7,5.2,34.2,,104,107
2003,26,SAC,Hedo Turkoglu,23,10,5,174,5.2,14.6,0.36,1.2,4.1,0.29,4.1,10.5,0.39,3.8,5.2,0.72,1.5,7.0,8.4,4.1,3.5,1.5,1.5,5.5,15.4,,104,105
2003,26,SAC,Keon Clark,27,12,0,171,5.9,12.2,0.49,0.0,0.0,,5.9,12.2,0.49,4.4,6.2,0.71,4.1,8.9,13.0,1.2,0.9,2.4,3.9,8.9,16.3,,100,108
2003,26,SAC,Scot Pollard,27,8,0,91,3.9,13.4,0.29,0.0,0.0,,3.9,13.4,0.29,5.6,7.2,0.77,9.5,7.2,16.7,1.1,0.6,3.9,3.9,8.4,13.4,,95,108
2003,26,SAC,Gerald Wallace,20,7,0,18,5.6,14.1,0.4,0.0,0.0,,5.6,14.1,0.4,5.6,5.6,1.0,0.0,14.1,14.1,0.0,0.0,2.8,5.6,11.3,16.9,,79,106
2003,26,SAC,Lawrence Funderburke,32,6,0,15,10.1,27.0,0.38,0.0,0.0,,10.1,27.0,0.38,10.1,13.5,0.75,10.1,16.9,27.0,0.0,0.0,0.0,3.4,6.8,30.4,,103,107
