Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21.0,CHA,NBA,PF,23.0,1.0,398.0,70.0,171.0,0.409,0.0,5.0,0.0,70.0,166.0,0.422,0.409,49.0,64.0,0.766,42.0,67.0,109.0,22.0,17.0,12.0,33.0,58.0,189.0
2006-07,22.0,CHA,NBA,PF,35.0,8.0,838.0,164.0,328.0,0.5,2.0,3.0,0.667,162.0,325.0,0.498,0.503,86.0,112.0,0.768,73.0,160.0,233.0,66.0,19.0,24.0,56.0,100.0,416.0
2008-09,24.0,CHA,NBA,PF,24.0,12.0,301.0,39.0,98.0,0.398,1.0,1.0,1.0,38.0,97.0,0.392,0.403,14.0,20.0,0.7,20.0,49.0,69.0,10.0,5.0,4.0,26.0,32.0,93.0
2009-10,25.0,SAC,NBA,C,37.0,4.0,331.0,51.0,111.0,0.459,0.0,4.0,0.0,51.0,107.0,0.477,0.459,21.0,32.0,0.656,20.0,50.0,70.0,17.0,12.0,7.0,19.0,46.0,123.0
