Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1987,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",22.0,NBA,PG,67.0,0.0,1217.0,173.0,424.0,0.41,23.0,70.0,0.33,150.0,354.0,0.42,0.44,95.0,114.0,0.83,33.0,84.0,117.0,202.0,43.0,4.0,105.0,75.0,464.0,0.0
1988,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",23.0,NBA,PG,80.0,79.0,2626.0,493.0,974.0,0.51,72.0,148.0,0.49,421.0,826.0,0.51,0.54,221.0,252.0,0.88,54.0,126.0,180.0,480.0,99.0,12.0,184.0,119.0,1279.0,0.0
1989,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",24.0,NBA,PG,75.0,74.0,2728.0,529.0,1006.0,0.53,93.0,211.0,0.44,436.0,795.0,0.55,0.57,263.0,292.0,0.9,48.0,178.0,226.0,631.0,115.0,7.0,212.0,98.0,1414.0,0.0
1990,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",25.0,NBA,PG,73.0,73.0,2706.0,489.0,1066.0,0.46,152.0,374.0,0.41,337.0,692.0,0.49,0.53,300.0,338.0,0.89,66.0,185.0,251.0,666.0,114.0,5.0,214.0,89.0,1430.0,1.0
1991,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",26.0,NBA,PG,16.0,16.0,571.0,97.0,195.0,0.5,18.0,53.0,0.34,79.0,142.0,0.56,0.54,59.0,62.0,0.95,8.0,37.0,45.0,166.0,42.0,2.0,56.0,23.0,271.0,0.0
1992,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",27.0,NBA,PG,72.0,72.0,2138.0,438.0,897.0,0.49,101.0,261.0,0.39,337.0,636.0,0.53,0.55,270.0,285.0,0.95,38.0,135.0,173.0,535.0,94.0,12.0,159.0,113.0,1247.0,0.0
1993,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",28.0,NBA,PG,75.0,74.0,2380.0,477.0,986.0,0.48,122.0,293.0,0.42,355.0,693.0,0.51,0.55,289.0,305.0,0.95,37.0,164.0,201.0,602.0,89.0,11.0,196.0,105.0,1365.0,0.0
1994,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",29.0,NBA,PG,76.0,73.0,2386.0,480.0,1005.0,0.48,118.0,297.0,0.4,362.0,708.0,0.51,0.54,238.0,268.0,0.89,39.0,189.0,228.0,589.0,103.0,11.0,189.0,93.0,1316.0,0.0
1995,6,2360,CLE,Cleveland Cavaliers,Mark Price,"February 15, 1964",30.0,NBA,PG,48.0,34.0,1375.0,253.0,612.0,0.41,103.0,253.0,0.41,150.0,359.0,0.42,0.5,148.0,162.0,0.91,25.0,87.0,112.0,335.0,35.0,4.0,142.0,50.0,757.0,0.0
1996,30,2360,WSB,Washington Bullets,Mark Price,"February 15, 1964",31.0,NBA,PG,7.0,1.0,127.0,18.0,60.0,0.3,10.0,30.0,0.33,8.0,30.0,0.27,0.38,10.0,10.0,1.0,1.0,6.0,7.0,18.0,6.0,0.0,10.0,7.0,56.0,0.0
1997,10,2360,GSW,Golden State Warriors,Mark Price,"February 15, 1964",32.0,NBA,PG,70.0,49.0,1876.0,263.0,589.0,0.45,112.0,283.0,0.4,151.0,306.0,0.49,0.54,155.0,171.0,0.91,36.0,143.0,179.0,342.0,67.0,3.0,161.0,100.0,793.0,0.0
1998,22,2360,ORL,Orlando Magic,Mark Price,"February 15, 1964",33.0,NBA,PG,63.0,33.0,1430.0,229.0,531.0,0.43,52.0,155.0,0.34,177.0,376.0,0.47,0.48,87.0,103.0,0.84,24.0,105.0,129.0,297.0,53.0,5.0,162.0,92.0,597.0,0.0
