Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2000,22,ORL,Orlando Magic,9,Tariq Abdul-Wahad,SG,6-6,223,1974-11-03,FR,2,"Michigan, San Jose State"
2000,22,ORL,Orlando Magic,13,John Amaechi,C,6-10,270,1970-11-26,US,1,"Vanderbilt, Penn State"
2000,22,ORL,Orlando Magic,10,Darrell Armstrong,PG,6-0,170,1968-06-22,US,5,Fayetteville State University
2000,22,ORL,Orlando Magic,31,Chucky Atkins,PG,5-11,160,1974-08-14,US,R,South Florida
2000,22,ORL,Orlando Magic,11,Earl Boykins,PG,5-5,135,1976-06-02,US,1,Eastern Michigan
2000,22,ORL,Orlando Magic,51,Michael Doleac,C,6-11,262,1977-06-15,US,1,Utah
2000,22,ORL,Orlando Magic,1,Kiwane Garris,SG,6-2,183,1974-09-24,US,1,Illinois
2000,22,ORL,Orlando Magic,8,Pat Garrity,SF,6-9,238,1976-08-23,US,1,Notre Dame
2000,22,ORL,Orlando Magic,25,Chris Gatling,PF,6-10,220,1967-09-03,US,8,Old Dominion
2000,22,ORL,Orlando Magic,15,Matt Harpring,SF,6-7,231,1976-05-31,US,1,Georgia Tech
2000,22,ORL,Orlando Magic,24,Anthony Johnson,PG,6-3,190,1974-10-02,US,2,College of Charleston
2000,22,ORL,Orlando Magic,50,Corey Maggette,SF,6-6,218,1979-11-12,US,R,Duke
2000,22,ORL,Orlando Magic,5,Ron Mercer,SG,6-7,210,1976-05-18,US,2,Kentucky
2000,22,ORL,Orlando Magic,45,Bo Outlaw,PF,6-8,210,1971-04-13,US,6,"South Plains College, Houston"
2000,22,ORL,Orlando Magic,24,Anthony Parker,SG,6-6,215,1975-06-19,US,2,Bradley
2000,22,ORL,Orlando Magic,33,Derek Strong,PF,6-8,220,1968-02-09,US,8,Xavier
2000,22,ORL,Orlando Magic,23,Johnny Taylor,SF,6-9,220,1974-06-04,US,2,"Indian Hills Community College, Chattanooga"
2000,22,ORL,Orlando Magic,4,Ben Wallace,PF,6-9,240,1974-09-10,US,3,Virginia Union University
2000,22,ORL,Orlando Magic,3,Monty Williams,SF,6-8,225,1971-10-08,US,5,Notre Dame
