Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1982,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,22.0,NBA,SG,82.0,16.0,1979.0,10.8,21.0,0.51,0.0,0.1,0.25,10.8,21.0,0.52,5.2,6.8,0.77,2.4,3.9,6.3,2.6,1.1,0.7,2.8,3.0,26.9,111.0,112.0
1983,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,23.0,NBA,SG,75.0,62.0,2349.0,10.2,20.7,0.49,0.1,0.3,0.2,10.1,20.4,0.5,5.9,7.6,0.78,2.1,3.7,5.8,3.7,0.7,0.6,2.3,2.3,26.4,114.0,113.0
1984,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,24.0,NBA,SG,81.0,81.0,3025.0,11.6,21.2,0.55,0.0,0.2,0.09,11.5,21.0,0.55,6.0,7.3,0.81,2.0,4.0,6.0,4.6,0.9,0.6,2.7,2.0,29.1,119.0,112.0
1985,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,25.0,NBA,SG,81.0,80.0,2834.0,10.7,21.1,0.51,0.1,0.3,0.3,10.6,20.7,0.51,5.9,7.1,0.83,1.8,3.3,5.1,5.0,1.0,0.3,2.8,1.6,27.4,115.0,112.0
1986,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,26.0,NBA,SG,82.0,81.0,2787.0,11.4,22.2,0.51,0.1,0.5,0.14,11.3,21.7,0.52,6.8,8.1,0.84,1.5,3.4,4.9,4.6,1.3,0.4,3.2,2.3,29.7,114.0,113.0
1987,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,27.0,NBA,SG,80.0,80.0,2758.0,10.8,21.9,0.5,0.1,0.3,0.33,10.8,21.6,0.5,7.3,8.2,0.88,1.7,3.2,4.8,4.6,1.1,0.4,3.0,2.5,29.0,117.0,113.0
1988,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,28.0,NBA,SG,71.0,69.0,2580.0,9.5,20.1,0.47,0.0,0.1,0.0,9.5,20.0,0.48,6.3,7.3,0.87,1.6,3.1,4.7,5.0,1.2,0.3,2.8,2.1,25.4,115.0,111.0
1989,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,29.0,NBA,SG,78.0,78.0,2946.0,10.1,21.2,0.48,0.5,1.4,0.35,9.6,19.8,0.48,5.4,6.3,0.85,1.2,3.5,4.6,4.9,1.1,0.3,2.8,2.3,26.1,110.0,112.0
1990,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,30.0,NBA,SG,80.0,80.0,2934.0,10.8,21.7,0.5,0.2,0.7,0.3,10.6,21.0,0.5,5.0,5.9,0.84,1.5,3.3,4.8,5.0,1.3,0.4,3.0,2.2,26.9,111.0,111.0
1991,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,31.0,NBA,SG,80.0,80.0,2965.0,10.9,22.6,0.48,0.7,2.0,0.35,10.2,20.7,0.49,4.8,5.6,0.86,1.1,3.3,4.4,5.2,1.2,0.3,2.7,2.6,27.3,110.0,114.0
1992,7,254,DAL,Dallas Mavericks,Rolando Blackman,1959-02-26,32.0,NBA,SG,75.0,74.0,2527.0,10.8,23.4,0.46,1.3,3.4,0.38,9.5,20.0,0.47,4.8,5.4,0.9,1.6,3.2,4.8,4.1,1.0,0.4,3.1,2.7,27.6,108.0,115.0
1993,20,254,NYK,New York Knicks,Rolando Blackman,1959-02-26,33.0,NBA,SG,60.0,33.0,1434.0,8.5,19.1,0.44,1.1,2.6,0.42,7.4,16.5,0.45,2.5,3.2,0.79,0.8,2.8,3.6,5.6,0.8,0.4,2.3,4.6,20.5,105.0,105.0
1994,20,254,NYK,New York Knicks,Rolando Blackman,1959-02-26,34.0,NBA,SG,55.0,1.0,969.0,8.6,19.7,0.44,1.6,4.5,0.36,7.0,15.2,0.46,2.6,2.8,0.91,1.2,3.7,5.0,4.1,1.3,0.3,2.3,5.3,21.3,106.0,102.0
