Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2009,5,2505,CHI,Charlotte Bobcats,20.0,NBA,PG,81.0,80.0,3000.0,574.0,1208.0,0.48,16.0,72.0,0.22,558.0,1136.0,0.49,0.48,197.0,250.0,0.79,96.0,221.0,317.0,512.0,66.0,18.0,202.0,125.0,1361.0,,0.0
2010,5,2505,CHI,Charlotte Bobcats,21.0,NBA,PG,78.0,78.0,2871.0,672.0,1373.0,0.49,16.0,60.0,0.27,656.0,1313.0,0.5,0.5,259.0,338.0,0.77,65.0,228.0,293.0,469.0,57.0,27.0,217.0,96.0,1619.0,,0.0
2011,5,2505,CHI,Charlotte Bobcats,22.0,NBA,PG,81.0,81.0,3026.0,711.0,1597.0,0.44,128.0,385.0,0.33,583.0,1212.0,0.48,0.48,476.0,555.0,0.86,81.0,249.0,330.0,623.0,85.0,51.0,278.0,136.0,2026.0,,1.0
2012,5,2505,CHI,Charlotte Bobcats,23.0,NBA,PG,39.0,39.0,1375.0,302.0,695.0,0.44,54.0,173.0,0.31,248.0,522.0,0.48,0.47,194.0,239.0,0.81,26.0,105.0,131.0,307.0,35.0,28.0,119.0,52.0,852.0,,0.0
2014,5,2505,CHI,Charlotte Bobcats,25.0,NBA,PG,10.0,10.0,311.0,58.0,164.0,0.35,16.0,47.0,0.34,42.0,117.0,0.36,0.4,27.0,32.0,0.84,9.0,23.0,32.0,43.0,5.0,1.0,34.0,15.0,159.0,,0.0
2015,5,2505,CHI,Charlotte Bobcats,26.0,NBA,PG,51.0,51.0,1530.0,338.0,835.0,0.4,76.0,271.0,0.28,262.0,564.0,0.46,0.45,152.0,187.0,0.81,35.0,126.0,161.0,251.0,36.0,16.0,161.0,63.0,904.0,,0.0
2016,5,2505,CHI,Charlotte Bobcats,27.0,NBA,PG,66.0,66.0,2097.0,447.0,1048.0,0.43,44.0,150.0,0.29,403.0,898.0,0.45,0.45,142.0,179.0,0.79,46.0,179.0,225.0,311.0,44.0,14.0,175.0,84.0,1080.0,,0.0
2017,20,2505,NYK,New York Knicks,28.0,NBA,PG,64.0,64.0,2082.0,460.0,977.0,0.47,13.0,60.0,0.22,447.0,917.0,0.49,0.48,221.0,253.0,0.87,66.0,180.0,246.0,283.0,44.0,17.0,147.0,84.0,1154.0,,0.0
2018,31,2505,TOT,Total After Trade,29.0,NBA,PG,25.0,7.0,420.0,81.0,186.0,0.44,7.0,30.0,0.23,74.0,156.0,0.47,0.45,40.0,46.0,0.87,13.0,22.0,35.0,37.0,7.0,4.0,35.0,16.0,209.0,,0.0
2018,6,2505,CLE,Cleveland Cavaliers,29.0,NBA,PG,16.0,7.0,308.0,58.0,132.0,0.44,6.0,24.0,0.25,52.0,108.0,0.48,0.46,35.0,41.0,0.85,10.0,19.0,29.0,26.0,3.0,4.0,28.0,14.0,157.0,,0.0
2018,18,2505,MIN,Minnesota Timberwolves,29.0,NBA,PG,9.0,0.0,112.0,23.0,54.0,0.43,1.0,6.0,0.17,22.0,48.0,0.46,0.44,5.0,5.0,1.0,3.0,3.0,6.0,11.0,4.0,0.0,7.0,2.0,52.0,,0.0
2019,18,2505,MIN,Minnesota Timberwolves,30.0,NBA,PG,51.0,13.0,1392.0,363.0,753.0,0.48,54.0,146.0,0.37,309.0,607.0,0.51,0.52,137.0,160.0,0.86,33.0,107.0,140.0,220.0,31.0,12.0,82.0,57.0,917.0,,0.0
2020,9,2505,DET,Detroit Pistons,31.0,NBA,PG,50.0,15.0,1298.0,369.0,753.0,0.49,45.0,147.0,0.31,324.0,606.0,0.54,0.52,121.0,139.0,0.87,27.0,94.0,121.0,278.0,40.0,16.0,126.0,49.0,904.0,,0.0
2021,9,2505,DET,Detroit Pistons,32.0,NBA,PG,12.0,0.0,285.0,65.0,151.0,0.43,11.0,33.0,0.33,54.0,118.0,0.46,0.47,37.0,44.0,0.84,4.0,22.0,26.0,55.0,15.0,4.0,25.0,17.0,178.0,,0.0
