Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2006,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",21.0,NBA,SF,13.0,13.0,604.0,146.0,307.0,0.48,21.0,63.0,0.33,125.0,244.0,0.51,0.51,87.0,118.0,0.74,22.0,83.0,105.0,76.0,18.0,9.0,65.0,44.0,400.0,,2.0
2007,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",22.0,NBA,SF,20.0,20.0,893.0,166.0,399.0,0.42,21.0,75.0,0.28,145.0,324.0,0.45,0.44,148.0,196.0,0.76,26.0,135.0,161.0,159.0,34.0,10.0,66.0,40.0,501.0,,0.0
2008,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",23.0,NBA,SF,13.0,13.0,552.0,113.0,275.0,0.41,18.0,70.0,0.26,95.0,205.0,0.46,0.44,122.0,167.0,0.73,16.0,86.0,102.0,99.0,23.0,17.0,54.0,33.0,366.0,,1.0
2009,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",24.0,NBA,SF,14.0,14.0,580.0,159.0,312.0,0.51,27.0,81.0,0.33,132.0,231.0,0.57,0.55,149.0,199.0,0.75,19.0,109.0,128.0,102.0,23.0,12.0,38.0,30.0,494.0,,1.0
2010,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",25.0,NBA,SF,11.0,11.0,460.0,106.0,211.0,0.5,20.0,50.0,0.4,86.0,161.0,0.53,0.55,88.0,120.0,0.73,15.0,87.0,102.0,84.0,19.0,20.0,42.0,23.0,320.0,,2.0
2011,16,1428,MIA,Miami Heat,LeBron James,"December 30, 1984",26.0,NBA,SF,21.0,21.0,922.0,174.0,373.0,0.47,30.0,85.0,0.35,144.0,288.0,0.5,0.51,119.0,156.0,0.76,34.0,142.0,176.0,123.0,35.0,25.0,66.0,56.0,497.0,,1.0
2012,16,1428,MIA,Miami Heat,LeBron James,"December 30, 1984",27.0,NBA,SF,23.0,23.0,983.0,251.0,502.0,0.5,22.0,85.0,0.26,229.0,417.0,0.55,0.52,173.0,234.0,0.74,54.0,170.0,224.0,129.0,43.0,16.0,81.0,47.0,697.0,,1.0
2013,16,1428,MIA,Miami Heat,LeBron James,"December 30, 1984",28.0,NBA,PF,23.0,23.0,960.0,212.0,432.0,0.49,36.0,96.0,0.38,176.0,336.0,0.52,0.53,136.0,175.0,0.78,37.0,156.0,193.0,152.0,41.0,18.0,70.0,43.0,596.0,,3.0
2014,16,1428,MIA,Miami Heat,LeBron James,"December 30, 1984",29.0,NBA,PF,20.0,20.0,763.0,192.0,340.0,0.56,35.0,86.0,0.41,157.0,254.0,0.62,0.62,129.0,160.0,0.81,14.0,127.0,141.0,95.0,36.0,11.0,61.0,46.0,548.0,,0.0
2015,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",30.0,NBA,SF,20.0,20.0,844.0,227.0,544.0,0.42,25.0,110.0,0.23,202.0,434.0,0.46,0.44,122.0,167.0,0.73,37.0,189.0,226.0,169.0,33.0,21.0,82.0,58.0,601.0,,3.0
2016,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",31.0,NBA,SF,21.0,21.0,822.0,219.0,417.0,0.52,32.0,94.0,0.34,187.0,323.0,0.58,0.56,82.0,124.0,0.66,42.0,158.0,200.0,160.0,49.0,27.0,75.0,54.0,552.0,,2.0
2017,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",32.0,NBA,SF,18.0,18.0,744.0,217.0,384.0,0.56,44.0,107.0,0.41,173.0,277.0,0.62,0.62,113.0,162.0,0.7,19.0,145.0,164.0,141.0,35.0,23.0,72.0,43.0,591.0,,3.0
2018,6,1428,CLE,Cleveland Cavaliers,LeBron James,"December 30, 1984",33.0,NBA,PF,22.0,22.0,922.0,275.0,510.0,0.54,39.0,114.0,0.34,236.0,396.0,0.6,0.58,159.0,213.0,0.75,31.0,169.0,200.0,198.0,30.0,23.0,94.0,52.0,748.0,,4.0
2020,14,1428,LAL,Los Angeles Lakers,LeBron James,"December 30, 1984",35.0,NBA,PG,21.0,21.0,762.0,214.0,382.0,0.56,44.0,119.0,0.37,170.0,263.0,0.65,0.62,108.0,150.0,0.72,28.0,198.0,226.0,184.0,26.0,18.0,84.0,40.0,580.0,,5.0
