PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
John Salley,29,5,5,201,3.9,10.2,0.386,0.0,0.0,,3.9,10.2,0.386,2.0,2.9,0.688,2.9,4.3,7.2,1.4,0.4,0.9,1.1,3.8,9.9
Glen Rice,26,5,5,195,4.8,12.6,0.382,1.3,4.2,0.304,3.5,8.3,0.42200000000000004,1.1,1.5,0.75,1.1,5.5,6.6,1.8,2.0,0.4,2.6,2.6,12.0
Steve Smith,24,5,5,192,6.2,15.0,0.413,1.7,4.1,0.409,4.5,10.9,0.414,3.9,4.7,0.84,3.2,2.4,5.6,2.1,0.7,0.4,1.9,2.3,18.0
Rony Seikaly,28,5,3,165,3.1,7.0,0.43799999999999994,0.0,0.0,,3.1,7.0,0.43799999999999994,2.8,5.0,0.565,4.1,6.1,10.3,1.7,0.9,1.5,2.4,4.8,8.9
Bimbo Coles,25,5,0,140,6.4,12.1,0.532,0.3,1.0,0.25,6.2,11.1,0.5579999999999999,4.6,5.9,0.7829999999999999,0.5,3.1,3.6,4.4,1.8,0.3,2.8,3.9,17.7
Brian Shaw,27,5,5,112,5.1,13.2,0.39,0.0,4.2,0.0,5.1,9.0,0.5710000000000001,2.3,3.9,0.583,1.0,5.5,6.4,2.9,1.3,0.3,4.2,2.6,12.5
Grant Long,27,4,2,110,4.6,11.8,0.389,0.0,0.0,,4.6,11.8,0.389,6.9,8.8,0.778,3.3,2.6,5.9,2.3,1.0,0.7,3.3,5.2,16.0
Harold Miner,22,4,0,57,7.6,16.4,0.462,0.0,0.0,,7.6,16.4,0.462,5.1,6.9,0.727,1.9,3.2,5.1,1.3,0.6,0.0,1.3,2.5,20.2
Willie Burton,25,2,0,11,3.3,13.1,0.25,0.0,6.5,0.0,3.3,6.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.3,9.8,6.5
Matt Geiger,24,2,0,11,0.0,6.5,0.0,0.0,0.0,,0.0,6.5,0.0,3.3,6.5,0.5,0.0,13.1,13.1,0.0,0.0,0.0,0.0,3.3,3.3
Keith Askins,26,1,0,6,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,6.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0
