PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kenny Anderson,23,4,4,181,3.8,10.7,0.35200000000000004,0.6,2.0,0.3,3.2,8.8,0.364,4.4,6.6,0.667,0.4,2.0,2.4,5.4,1.8,0.0,1.8,2.2,12.5
Derrick Coleman,26,4,4,173,5.6,14.2,0.397,1.0,1.9,0.556,4.6,12.3,0.373,8.1,10.4,0.78,4.0,7.9,11.9,2.1,0.4,1.0,3.7,2.5,20.4
Kevin Edwards,28,4,4,148,4.4,12.2,0.36,0.0,0.5,0.0,4.4,11.7,0.375,3.2,3.4,0.929,1.9,1.9,3.9,2.2,1.2,0.2,2.2,2.2,11.9
Armen Gilliam,29,4,0,112,4.8,10.9,0.441,0.0,0.3,0.0,4.8,10.6,0.455,3.9,5.1,0.75,0.3,7.7,8.0,0.3,0.6,2.3,1.0,2.3,13.5
Benoit Benjamin,29,4,4,108,2.3,5.7,0.41200000000000003,0.0,0.0,,2.3,5.7,0.41200000000000003,2.3,2.7,0.875,1.7,5.3,7.0,0.3,0.7,2.7,1.7,5.3,7.0
Chris Morris,28,4,3,98,4.4,15.8,0.27899999999999997,1.1,7.3,0.15,3.3,8.4,0.391,3.7,3.7,1.0,4.0,4.0,8.1,2.6,1.8,1.8,2.2,5.1,13.6
P.J. Brown,24,4,1,56,1.3,5.8,0.222,0.0,0.0,,1.3,5.8,0.222,5.1,5.1,1.0,2.6,2.6,5.1,1.9,0.0,1.3,1.9,8.4,7.7
Johnny Newman,30,4,0,54,2.0,8.7,0.231,0.7,2.7,0.25,1.3,6.0,0.222,3.3,4.7,0.7140000000000001,1.3,2.0,3.3,1.3,1.3,1.3,2.0,7.3,8.0
Rick Mahorn,35,3,0,19,0.0,1.9,0.0,0.0,0.0,,0.0,1.9,0.0,0.0,0.0,,1.9,5.7,7.6,0.0,0.0,1.9,1.9,13.3,0.0
David Wesley,23,3,0,18,6.0,14.0,0.429,2.0,8.0,0.25,4.0,6.0,0.667,4.0,4.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,8.0,0.0,18.0
Jayson Williams,25,2,0,17,0.0,6.4,0.0,0.0,0.0,,0.0,6.4,0.0,2.1,4.2,0.5,6.4,0.0,6.4,0.0,0.0,0.0,4.2,10.6,2.1
Rex Walters,23,1,0,1,36.0,36.0,1.0,0.0,0.0,,36.0,36.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
